Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
Georgia,1855289,-1.0,17132,-1.0,0,0.0,0,-1,467476.0,4317.0,16920079,4263340,3968738,Asia,-5.389995844313204e-05,-0.0058370301190754145,
Jordan,1746997,-1.0,14122,-1.0,1731007,-1.0,1868,59,169597.0,1371.0,17201885,1669945,10300869,Asia,-5.724108284101232e-05,-0.00708114997875655,-5.7769841485331945e-05
Ireland,1733755,-1.0,9481,-1.0,1723629,-1.0,645,19,345356.0,1889.0,13083449,2606161,5020199,Europe,-5.767827634238978e-05,-0.010547410610695074,-5.801712549510364e-05
Pakistan,1581936,-1.0,30664,-1.0,1538689,-1.0,12583,-1,6893.0,134.0,30589153,133292,229488994,Asia,-6.321368247514438e-05,-0.0032611531437516305,-6.499039117066543e-05
Finland,1515575,-1.0,11949,-1.0,1503057,40.0,569,0,272833.0,2151.0,12108977,2179850,5554960,Europe,-6.598155815449583e-05,-0.008368901163277261,0.0026612430533239926
Norway,1509732,-1.0,6638,-1.0,1503024,-1.0,70,0,273930.0,1204.0,11002430,1996315,5511370,Europe,-6.623692151984591e-05,-0.015064778547755347,-6.653253707192966e-05
Kazakhstan,1411831,-1.0,13848,-1.0,1383020,-1.0,14963,24,73514.0,721.0,11575012,602707,19205043,Asia,-7.083000727424175e-05,-0.007221259387637203,-7.230553426559268e-05
Lithuania,1396646,43.0,9897,-1.0,1385457,27.0,1292,0,524718.0,3718.0,10540357,3959997,2661708,Europe,0.0030788045073697986,-0.01010407194099222,0.0019488154450120069
Slovenia,1356451,-1.0,7100,-1.0,1349267,-1.0,84,0,652757.0,3417.0,2847701,1370382,2078034,Europe,-7.37217931204297e-05,-0.014084507042253521,-7.411431540236291e-05
Bulgaria,1339491,12.0,38737,-1.0,1292640,1.0,8114,36,195700.0,5660.0,11634738,1699843,6844597,Europe,0.0008958626821680772,-0.0025815112166662365,7.736105953707142e-05
Croatia,1309728,-1.0,18687,-1.0,1258432,-1.0,32609,-1,322650.0,4604.0,5660084,1394355,4059286,Europe,-7.63517310464463e-05,-0.0053513137475250175,-7.946396785841428e-05
Guatemala,1288588,-1.0,20285,-1.0,1265533,-1.0,2770,5,69338.0,1092.0,7593848,408622,18584039,North America,-7.76043234920704e-05,-0.004929751047572098,-7.90180896112547e-05
Morocco,1278944,-1.0,16301,-1.0,0,0.0,0,0,33859.0,432.0,13001033,344191,37772756,Africa,-7.818950634273275e-05,-0.006134592969756457,
Lebanon,1243838,-1.0,10952,-1.0,1087587,-1.0,145299,74,186068.0,1638.0,4795578,717380,6684849,Asia,-8.039632170748924e-05,-0.009130752373995618,-9.194666725512533e-05
Costa Rica,1238883,-1.0,9428,-1.0,0,0.0,0,0,239058.0,1819.0,4659757,899158,5182354,North America,-8.071787247060457e-05,-0.010606703436571913,
Bolivia,1211716,-1.0,22407,-1.0,1177145,-1.0,12164,220,101038.0,1868.0,2710261,225993,11992656,South America,-8.252758897299367e-05,-0.0044628910608292055,-8.495130166631979e-05
Tunisia,1153361,-1.0,29423,-1.0,0,0.0,0,0,95741.0,2442.0,5013383,416164,12046656,Africa,-8.670312243954841e-05,-0.0033987016959521467,
Cuba,1115243,-1.0,8530,-1.0,1106647,-1.0,66,-1,98645.0,754.0,14401151,1273801,11305652,North America,-8.966655697457863e-05,-0.011723329425556858,-9.036305163254407e-05
UAE,1067030,-1.0,2349,-1.0,0,0.0,0,-1,105837.0,233.0,200732262,19910389,10081785,Asia,-9.371807727992653e-05,-0.04257130693912303,
Panama,1059893,-1.0,8727,-1.0,1051102,-1.0,64,16,238341.0,1962.0,7882622,1772585,4446964,North America,-9.434914656479475e-05,-0.01145869141744013,-9.513824538436803e-05
Uruguay,1041111,-1.0,7664,-1.0,1030944,-1.0,2503,18,297799.0,2192.0,6114822,1749083,3496016,South America,-9.605123757217049e-05,-0.013048016701461376,-9.699847906384828e-05
Nepal,1003450,-1.0,12031,-1.0,991322,-1.0,97,-1,33199.0,398.0,6047766,200088,30225582,Asia,-9.965618615775574e-05,-0.00831186102568365,-0.00010087539669249748
Belarus,994037,-1.0,7118,-1.0,985592,-1.0,1327,-1,105381.0,755.0,13646641,1446722,9432800,Europe,-0.00010059987706695023,-0.014048890137679125,-0.00010146186251511781
Latvia,982280,-1.0,6686,-1.0,971406,-1.0,4188,-1,531296.0,3616.0,7885792,4265272,1848837,Europe,-0.00010180396628252637,-0.014956625785222853,-0.0001029435683946774
Saudi Arabia,841469,-1.0,9646,-1.0,0,0.0,0,-1,23475.0,269.0,45481735,1268848,35844909,Asia,-0.00011883979088950396,-0.01036699149906697,
Paraguay,837602,-1.0,20155,-1.0,0,0.0,0,0,114648.0,2759.0,2657506,363751,7305843,South America,-0.00011938844463122102,-0.004961548002976929,
Azerbaijan,834649,-1.0,10400,-1.0,824089,-1.0,160,-1,81032.0,1010.0,7748050,752223,10300205,Asia,-0.00011981084264163738,-0.009615384615384616,-0.00012134611674224506
Bahrain,729549,-1.0,1574,-1.0,727915,-1.0,60,0,408944.0,882.0,10948549,6137138,1783983,Asia,-0.00013707098495097656,-0.06353240152477764,-0.00013737867745547213
Dominican Republic,675890,-1.0,4384,-1.0,671316,-1.0,190,4,61131.0,397.0,3740928,338350,11056370,North America,-0.00014795306928642234,-0.02281021897810219,-0.00014896114497494473
Sri Lanka,672750,-1.0,16897,-1.0,655852,-1.0,1,-1,31181.0,783.0,6486117,300619,21575842,Asia,-0.00014864362690449647,-0.005918210333195242,-0.00015247342388221733
Kuwait,667094,-1.0,2570,-1.0,0,0.0,0,-1,152293.0,587.0,8455743,1930391,4380326,Asia,-0.00014990391159266909,-0.038910505836575876,
Myanmar,641801,-1.0,19495,-1.0,620159,-1.0,2147,-1,11621.0,353.0,11672345,211352,55227143,Asia,-0.0001558115365977928,-0.00512952038984355,-0.00016124897002220398
Moldova,634508,-1.0,12206,-1.0,0,0.0,0,0,158106.0,3041.0,3216305,801437,4013171,Europe,-0.00015760242581653816,-0.008192692118630182,
Estonia,627820,-1.0,3001,-1.0,0,0.0,0,0,474934.0,2270.0,6944652,5253498,1321910,Europe,-0.00015928132267210347,-0.03332222592469177,
Palestine,621008,-1.0,5404,-1.0,615445,-1.0,159,-1,116173.0,1011.0,3078533,575907,5345541,Asia,-0.00016102852137170535,-0.01850481125092524,-0.00016248405625198027
