Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
TimorLeste,23460,-1.0,138,-1.0,23102,-1.0,220,-1,17131.0,101.0,278529,203391,1369429,Asia,-0.004262574595055414,-0.7246376811594203,-0.004328629555882608
Burkina Faso,22109,-1.0,400,-1.0,21596,-1.0,113,-1,1000.0,18.0,248995,11265,22102838,Africa,-0.004523044913835994,-0.25,-0.004630487127245786
Liechtenstein,21573,-1.0,94,-1.0,0,0.0,0,0,561987.0,2449.0,112457,2929559,38387,Europe,-0.004635423909516525,-1.0638297872340425,
Gibraltar,20550,-1.0,113,-1.0,0,0.0,0,-1,609720.0,3353.0,534283,15852213,33704,Europe,-0.004866180048661801,-0.8849557522123894,
Grenada,19693,-1.0,238,-1.0,19358,-1.0,97,4,173545.0,2097.0,182981,1612523,113475,North America,-0.0050779464784441175,-0.42016806722689076,-0.005165822915590454
Bermuda,18860,-1.0,165,-1.0,18685,-1.0,10,-1,304493.0,2664.0,1029558,16622128,61939,North America,-0.005302226935312831,-0.6060606060606061,-0.005351886540005351
South Sudan,18819,-1.0,147,-1.0,18115,-1.0,557,1,1620.0,13.0,410280,35313,11618511,Africa,-0.005313778627982358,-0.6802721088435374,-0.005520287054926856
Nicaragua,18491,-1.0,225,-1.0,4225,-1.0,14041,-1,2728.0,33.0,-1,-1,6779100,North America,-0.005408036342004218,-0.4444444444444444,-0.023668639053254437
Tajikistan,17786,-1.0,125,-1.0,17264,-1.0,397,-1,1786.0,13.0,-1,-1,9957464,Asia,-0.005622399640166423,-0.8,-0.0057924003707136235
Equatorial Guinea,17229,-1.0,183,-1.0,16907,-1.0,139,5,11512.0,122.0,365697,244342,1496662,Africa,-0.00580416739218759,-0.546448087431694,-0.005914709883480215
Monaco,17181,-1.0,67,-1.0,0,0.0,0,0,431868.0,1684.0,78646,1976875,39783,Europe,-0.005820382981200163,-1.4925373134328357,
Samoa,17006,-1.0,31,-1.0,1605,-1.0,15370,-1,84089.0,153.0,187397,926612,202239,Australia/Oceania,-0.005880277549100318,-3.225806451612903,-0.06230529595015576
Tonga,16950,-1.0,13,-1.0,15638,-1.0,1299,-1,157310.0,121.0,535009,4965327,107749,Australia/Oceania,-0.0058997050147492625,-7.6923076923076925,-0.00639467962655071
Djibouti,15690,-1.0,189,-1.0,15427,-1.0,74,-1,15441.0,186.0,305941,301094,1016097,Africa,-0.006373486297004461,-0.5291005291005291,-0.006482141699617554
CAR,15440,-1.0,113,-1.0,15200,-1.0,127,2,3078.0,23.0,81294,16205,5016678,Africa,-0.006476683937823834,-0.8849557522123894,-0.006578947368421052
Gambia,12626,-1.0,372,-1.0,12189,-1.0,65,-1,4935.0,145.0,155686,60851,2558482,Africa,-0.007920164739426581,-0.2688172043010753,-0.00820411846747067
Saint Martin,12324,-1.0,63,-1.0,0,0.0,0,0,310194.0,1586.0,112382,2828643,39730,North America,-0.008114248620577734,-1.5873015873015872,
Vanuatu,12019,-1.0,14,-1.0,11976,-1.0,29,-1,37346.0,44.0,24976,77606,321832,Australia/Oceania,-0.008320159747067145,-7.142857142857142,-0.008350033400133601
Greenland,11971,-1.0,21,-1.0,2761,-1.0,9189,4,210117.0,369.0,164926,2894810,56973,North America,-0.008353521009105337,-4.761904761904762,-0.036218761318362915
Yemen,11945,-1.0,2159,-1.0,9124,-1.0,662,0,383.0,69.0,329592,10579,31154867,Asia,-0.008371703641691083,-0.04631773969430292,-0.010960105217010083
Caribbean Netherlands,11682,-1.0,38,-1.0,10476,-1.0,1168,-1,438398.0,1426.0,30126,1130559,26647,North America,-0.008560178051703475,-2.631578947368421,-0.009545628102329133
Sint Maarten,11051,-1.0,92,-1.0,10905,-1.0,54,0,251353.0,2093.0,62056,1411454,43966,North America,-0.009048954845715319,-1.0869565217391304,-0.009170105456212746
Niger,9931,-1.0,312,-1.0,8890,-1.0,729,1,381.0,12.0,254538,9759,26083660,Africa,-0.010069479407914611,-0.3205128205128205,-0.01124859392575928
St. Vincent Grenadines,9674,-1.0,124,-1.0,9493,-1.0,57,-1,86723.0,1112.0,114197,1023720,111551,North America,-0.010336985734959685,-0.8064516129032258,-0.010534077741493732
GuineaBissau,9614,-1.0,177,-1.0,8929,-1.0,508,6,4659.0,86.0,145231,70385,2063367,Africa,-0.010401497815685458,-0.5649717514124294,-0.011199462425803561
Comoros,9109,-1.0,161,-1.0,8939,-1.0,9,-1,10038.0,177.0,-1,-1,907419,Africa,-0.010978153474585575,-0.6211180124223602,-0.011186933661483387
Antigua and Barbuda,9106,-1.0,146,-1.0,8954,-1.0,6,0,91509.0,1467.0,18901,189943,99509,North America,-0.010981770261366132,-0.684931506849315,-0.011168192986374805
Liberia,8090,-1.0,295,-1.0,7783,-1.0,12,2,1525.0,56.0,139824,26356,5305117,Africa,-0.012360939431396788,-0.3389830508474576,-0.012848515996402417
Sierra Leone,7779,-1.0,126,-1.0,0,0.0,0,-1,937.0,15.0,259958,31296,8306436,Africa,-0.012855122766422419,-0.7936507936507936,
Chad,7701,-1.0,194,-1.0,4874,-1.0,2633,-1,442.0,11.0,191341,10988,17413580,Africa,-0.01298532658096351,-0.5154639175257731,-0.02051702913418137
British Virgin Islands,7392,-1.0,64,-1.0,0,0.0,0,-1,241600.0,2092.0,107339,3508269,30596,North America,-0.013528138528138528,-1.5625,
Cook Islands,7203,-1.0,2,-1.0,7150,-1.0,51,-1,409937.0,114.0,19690,1120596,17571,Australia/Oceania,-0.013883104262113009,-50.0,-0.013986013986013986
Sao Tome and Principe,6752,-1.0,80,-1.0,6671,-1.0,1,-1,29656.0,351.0,29600,130008,227679,Africa,-0.01481042654028436,-1.25,-0.014990256333383302
Turks and Caicos,6749,-1.0,40,-1.0,6693,-1.0,16,4,169825.0,1007.0,616698,15517929,39741,North America,-0.01481700992739665,-2.5,-0.014940983116689076
Palau,6279,-1.0,10,-1.0,6268,-1.0,1,-1,344376.0,548.0,71280,3909395,18233,Australia/Oceania,-0.01592610288262462,-10.0,-0.015954052329291642
St. Barth,5507,-1.0,6,-1.0,0,0.0,0,-1,553746.0,603.0,78646,7908095,9945,North America,-0.018158707100054475,-16.666666666666664,
Nauru,5393,-1.0,1,-1.0,5347,-1.0,45,-1,494635.0,92.0,20509,1881042,10903,Australia/Oceania,-0.018542555164101613,-100.0,-0.018702075930428278
Kiribati,5085,-1.0,24,-1.0,2703,-1.0,2358,3,41201.0,194.0,-1,-1,123419,Australia/Oceania,-0.019665683382497544,-4.166666666666666,-0.03699593044765076
Anguilla,3904,-1.0,12,-1.0,0,0.0,0,0,256336.0,788.0,51382,3373736,15230,North America,-0.025614754098360656,-8.333333333333332,
Wallis and Futuna,3550,-1.0,8,-1.0,438,-1.0,3104,-1,323256.0,728.0,20508,1867419,10982,Australia/Oceania,-0.028169014084507043,-12.5,-0.228310502283105
Saint Pierre Miquelon,3452,-1.0,2,-1.0,2449,-1.0,1001,-1,599410.0,347.0,25400,4410488,5759,North America,-0.028968713789107762,-50.0,-0.04083299305839118
Tuvalu,2943,-1.0,1,-1.0,0,0.0,0,0,243909.0,83.0,-1,-1,12066,Australia/Oceania,-0.03397893306150187,-100.0,
Saint Helena,2166,-1.0,-1,-1.0,2,-1.0,2164,-1,354211.0,-1.0,-1,-1,6115,Africa,-0.04616805170821791,100.0,-50.0
Montserrat,1403,-1.0,8,-1.0,1376,-1.0,19,-1,282578.0,1611.0,17762,3577442,4965,North America,-0.07127583749109052,-12.5,-0.07267441860465117
Niue,1059,-1.0,-1,-1.0,1056,-1.0,3,-1,652898.0,-1.0,-1,-1,1622,Australia/Oceania,-0.09442870632672333,100.0,-0.0946969696969697
Tokelau,80,-1.0,-1,-1.0,-1,-1.0,80,-1,58055.0,-1.0,-1,-1,1378,Australia/Oceania,-1.25,100.0,100.0
